Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
AI4455   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          13:15  14:05  0h 50m
SG5668   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             13:15  15:55  2h 40m
AI2607   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       13:45  14:36  0h 51m
6E3457   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             14:15  17:23  3h 8m
SG4871   BOM   Mumbai (Chhatrapati Shivaji)        CCJ   Calicut                             14:30  15:19  0h 49m
UK3253   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       14:45  18:14  3h 29m
6E7768   BOM   Mumbai (Chhatrapati Shivaji)        IXC   Chandigarh                          15:15  16:28  1h 13m
UK2246   BOM   Mumbai (Chhatrapati Shivaji)        IXE   Mangalore                           15:30  18:11  2h 41m
UK2557   BOM   Mumbai (Chhatrapati Shivaji)        IMF   Imphal                              15:30  17:15  1h 45m
6E7773   BOM   Mumbai (Chhatrapati Shivaji)        STV   Surat                               16:15  19:20  3h 5m
G89241   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             17:30  19:08  1h 38m
6E4648   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          17:45  20:45  3h 0m
6E6151   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             17:45  18:34  0h 49m
SG8042   BOM   Mumbai (Chhatrapati Shivaji)        TRV   Thiruvananthapuram                  17:45  19:39  1h 54m
6E3941   BOM   Mumbai (Chhatrapati Shivaji)        STV   Surat                               18:00  20:28  2h 28m
6E4864   BOM   Mumbai (Chhatrapati Shivaji)        JAI   Jaipur                              18:00  19:21  1h 21m
UK4245   BOM   Mumbai (Chhatrapati Shivaji)        PNQ   Pune                                19:00  21:47  2h 47m
SG5703   BOM   Mumbai (Chhatrapati Shivaji)        CNN   Kannur                              19:30  23:13  3h 43m
6E4370   BOM   Mumbai (Chhatrapati Shivaji)        CCJ   Calicut                             20:00  22:21  2h 21m
6E759    BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          20:30  21:22  0h 52m
G88033   BOM   Mumbai (Chhatrapati Shivaji)        IXE   Mangalore                           21:00  23:29  2h 29m
G81044   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          21:15  22:20  1h 5m
AI3591   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             22:00  23:48  1h 48m
G88952   BOM   Mumbai (Chhatrapati Shivaji)        JAI   Jaipur                              22:00  22:49  0h 49m
SG3020   BOM   Mumbai (Chhatrapati Shivaji)        IXE   Mangalore                           22:15  01:51  3h 36m
UK433    BOM   Mumbai (Chhatrapati Shivaji)        PNQ   Pune                                22:45  02:19  3h 34m
AI677    BOM   Mumbai (Chhatrapati Shivaji)        AMD   Ahmedabad (Sardar Vallabhbhai Pat   17:30  18:25  0h 55m
6E3372   BOM   Mumbai (Chhatrapati Shivaji)        AMD   Ahmedabad (Sardar Vallabhbhai Pat   20:00  21:02  1h 2m
SG2673   BOM   Mumbai (Chhatrapati Shivaji)        AMD   Ahmedabad (Sardar Vallabhbhai Pat   23:00  00:45  1h 45m
6E3224   BOM   Mumbai (Chhatrapati Shivaji)        ATQ   Amritsar (Sri Guru Ram Dass Jee)    09:45  13:12  3h 27m
AI3706   BOM   Mumbai (Chhatrapati Shivaji)        ATQ   Amritsar (Sri Guru Ram Dass Jee)    14:45  17:38  2h 53m
AI914    BOM   Mumbai (Chhatrapati Shivaji)        ATQ   Amritsar (Sri Guru Ram Dass Jee)    17:45  21:34  3h 49m
6E4838   BOM   Mumbai (Chhatrapati Shivaji)        BBI   Bhubaneswar (Biju Patnaik)          09:15  10:57  1h 42m
6E1915   BOM   Mumbai (Chhatrapati Shivaji)        BBI   Bhubaneswar (Biju Patnaik)          20:15  23:50  3h 35m
6E173    BOM   Mumbai (Chhatrapati Shivaji)        BBI   Bhubaneswar (Biju Patnaik)          21:45  23:12  1h 27m
UK7241   BOM   Mumbai (Chhatrapati Shivaji)        BLR   Bangalore (Kempegowda)              05:45  07:28  1h 43m
6E7672   BOM   Mumbai (Chhatrapati Shivaji)        BLR   Bangalore (Kempegowda)              07:00  08:43  1h 43m
6E658    BOM   Mumbai (Chhatrapati Shivaji)        BLR   Bangalore (Kempegowda)              17:45  19:15  1h 30m
G88516   BOM   Mumbai (Chhatrapati Shivaji)        BLR   Bangalore (Kempegowda)              20:15  22:22  2h 7m
AI1439   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   05:45  08:13  2h 28m
AI3257   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   12:15  14:18  2h 3m
6E6418   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   13:15  14:50  1h 35m
AI5988   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   13:30  15:53  2h 23m
6E7404   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   17:15  18:46  1h 31m
AI6668   BOM   Mumbai (Chhatrapati Shivaji)        CCU   Kolkata (Netaji Subhas Chandra Bo   18:45  21:35  2h 50m
AI1304   BOM   Mumbai (Chhatrapati Shivaji)        COK   Kochi (Cochin)                      05:30  06:50  1h 20m
UK1509   BOM   Mumbai (Chhatrapati Shivaji)        COK   Kochi (Cochin)                      06:30  09:32  3h 2m
G87991   BOM   Mumbai (Chhatrapati Shivaji)        COK   Kochi (Cochin)                      09:30  12:05  2h 35m
UK7052   BOM   Mumbai (Chhatrapati Shivaji)        DEL   Delhi (Indira Gandhi)               05:15  07:43  2h 28m
G87770   BOM   Mumbai (Chhatrapati Shivaji)        DEL   Delhi (Indira Gandhi)               09:15  10:52  1h 37m
6E7625   BOM   Mumbai (Chhatrapati Shivaji)        DEL   Delhi (Indira Gandhi)               12:45  14:21  1h 36m
6E6374   BOM   Mumbai (Chhatrapati Shivaji)        DEL   Delhi (Indira Gandhi)               18:15  20:16  2h 1m
SG3941   BOM   Mumbai (Chhatrapati Shivaji)        GAU   Guwahati (Lokpriya Gopinath Bordo   06:45  09:38  2h 53m
UK932    BOM   Mumbai (Chhatrapati Shivaji)        GAU   Guwahati (Lokpriya Gopinath Bordo   07:00  10:37  3h 37m
6E4384   BOM   Mumbai (Chhatrapati Shivaji)        GAU   Guwahati (Lokpriya Gopinath Bordo   13:45  17:35  3h 50m
6E5590   BOM   Mumbai (Chhatrapati Shivaji)        GAU   Guwahati (Lokpriya Gopinath Bordo   19:15  20:56  1h 41m
SG6706   BOM   Mumbai (Chhatrapati Shivaji)        GOI   Goa (Dabolim)                       11:30  14:33  3h 3m
6E703    BOM   Mumbai (Chhatrapati Shivaji)        GOI   Goa (Dabolim)                       19:45  22:02  2h 17m
G89257   BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            08:00  09:47  1h 47m
G8176    BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            15:30  18:23  2h 53m
UK9807   BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            16:15  19:11  2h 56m
SG1503   BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            18:30  21:20  2h 50m
G84528   BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            20:00  22:18  2h 18m
G86914   BOM   Mumbai (Chhatrapati Shivaji)        HYD   Hyderabad (Rajiv Gandhi)            20:30  23:20  2h 50m
6E3875   BOM   Mumbai (Chhatrapati Shivaji)        IDR   Indore (Devi Ahilya Bai Holkar)     19:30  20:54  1h 24m
6E2227   BOM   Mumbai (Chhatrapati Shivaji)        IDR   Indore (Devi Ahilya Bai Holkar)     23:00  00:45  1h 45m
AI7226   BOM   Mumbai (Chhatrapati Shivaji)        IXB   Siliguri (Bagdogra)                 09:00  10:10  1h 10m
G8371    BOM   Mumbai (Chhatrapati Shivaji)        IXB   Siliguri (Bagdogra)                 09:00  11:09  2h 9m
UK9281   BOM   Mumbai (Chhatrapati Shivaji)        IXB   Siliguri (Bagdogra)                 17:30  21:16  3h 46m
G84060   BOM   Mumbai (Chhatrapati Shivaji)        LKO   Lucknow (Chaudhary Charan Singh)    05:00  06:12  1h 12m
SG2080   BOM   Mumbai (Chhatrapati Shivaji)        LKO   Lucknow (Chaudhary Charan Singh)    08:15  09:54  1h 39m
6E9228   BOM   Mumbai (Chhatrapati Shivaji)        LKO   Lucknow (Chaudhary Charan Singh)    12:00  14:46  2h 46m
AI6764   BOM   Mumbai (Chhatrapati Shivaji)        LKO   Lucknow (Chaudhary Charan Singh)    15:45  17:23  1h 38m
AI4137   BOM   Mumbai (Chhatrapati Shivaji)        NAG   Nagpur (Dr. Babasaheb Ambedkar)     05:30  07:23  1h 53m
SG6411   BOM   Mumbai (Chhatrapati Shivaji)        NAG   Nagpur (Dr. Babasaheb Ambedkar)     09:45  12:14  2h 29m
AI3675   BOM   Mumbai (Chhatrapati Shivaji)        NAG   Nagpur (Dr. Babasaheb Ambedkar)     14:45  17:37  2h 52m
SG6817   BOM   Mumbai (Chhatrapati Shivaji)        PAT   Patna (Jay Prakash Narayan)         08:00  11:22  3h 22m
6E4078   BOM   Mumbai (Chhatrapati Shivaji)        PAT   Patna (Jay Prakash Narayan)         13:30  14:19  0h 49m
6E9559   BOM   Mumbai (Chhatrapati Shivaji)        PAT   Patna (Jay Prakash Narayan)         18:00  21:44  3h 44m
SG5998   BOM   Mumbai (Chhatrapati Shivaji)        PAT   Patna (Jay Prakash Narayan)         19:45  23:19  3h 34m
6E2859   BOM   Mumbai (Chhatrapati Shivaji)        SXR   Srinagar (Sheikhul Aalam)           06:30  08:32  2h 2m
6E9869   BOM   Mumbai (Chhatrapati Shivaji)        SXR   Srinagar (Sheikhul Aalam)           12:45  15:40  2h 55m
AI2260   BOM   Mumbai (Chhatrapati Shivaji)        SXR   Srinagar (Sheikhul Aalam)           16:00  19:10  3h 10m
SG6749   BOM   Mumbai (Chhatrapati Shivaji)        VNS   Varanasi (Lal Bahadur Shastri)      14:00  14:54  0h 54m
AI4826   BOM   Mumbai (Chhatrapati Shivaji)        VNS   Varanasi (Lal Bahadur Shastri)      19:45  23:03  3h 18m
G83432   GOI   Goa (Dabolim)                       HYD   Hyderabad (Rajiv Gandhi)            07:00  10:59  3h 59m
UK2328   DEL   Delhi (Indira Gandhi)               CCJ   Calicut                             05:00  06:14  1h 14m
AI9527   DEL   Delhi (Indira Gandhi)               CNN   Kannur                              05:30  09:08  3h 38m
UK2631   DEL   Delhi (Indira Gandhi)               TRZ   Tiruchirappalli                     07:15  09:09  1h 54m
AI5025   DEL   Delhi (Indira Gandhi)               JAI   Jaipur                              07:45  08:50  1h 5m
6E5797   DEL   Delhi (Indira Gandhi)               MAA   Chennai                             08:30  11:19  2h 49m
AI3582   DEL   Delhi (Indira Gandhi)               CJB   Coimbatore                          08:45  09:36  0h 51m
6E1849   DEL   Delhi (Indira Gandhi)               TRZ   Tiruchirappalli                     09:15  10:38  1h 23m
UK4749   DEL   Delhi (Indira Gandhi)               CNN   Kannur                              09:15  11:27  2h 12m
6E9833   DEL   Delhi (Indira Gandhi)               TRV   Thiruvananthapuram                  09:30  12:59  3h 29m
AI3309   DEL   Delhi (Indira Gandhi)               STV   Surat                               10:15  12:31  2h 16m
SG4134   DEL   Delhi (Indira Gandhi)               IXC   Chandigarh                          10:15  12:53  2h 38m
6E4064   DEL   Delhi (Indira Gandhi)               IMF   Imphal                              10:45  14:41  3h 56m
AI4228   DEL   Delhi (Indira Gandhi)               TRV   Thiruvananthapuram                  10:45  13:51  3h 6m
AI6254   DEL   Delhi (Indira Gandhi)               IXC   Chandigarh                          11:00  14:59  3h 59m
6E3280   DEL   Delhi (Indira Gandhi)               IXM   Madurai                             11:30  13:06  1h 36m
6E339    DEL   Delhi (Indira Gandhi)               CJB   Coimbatore                          11:45  14:18  2h 33m
G86742   DEL   Delhi (Indira Gandhi)               IXM   Madurai                             12:15  15:20  3h 5m
UK3320   DEL   Delhi (Indira Gandhi)               TRV   Thiruvananthapuram                  12:15  15:18  3h 3m
G89678   DEL   Delhi (Indira Gandhi)               JAI   Jaipur                              13:15  14:01  0h 46m
6E1240   DEL   Delhi (Indira Gandhi)               CCJ   Calicut                             14:00  15:52  1h 52m
AI4395   DEL   Delhi (Indira Gandhi)               TRZ   Tiruchirappalli                     14:15  17:05  2h 50m
SG782    DEL   Delhi (Indira Gandhi)               CCJ   Calicut                             14:15  17:07  2h 52m
AI9754   DEL   Delhi (Indira Gandhi)               IMF   Imphal                              14:30  15:42  1h 12m
6E9717   DEL   Delhi (Indira Gandhi)               MAA   Chennai                             14:45  16:56  2h 11m
G86135   DEL   Delhi (Indira Gandhi)               PNQ   Pune                                14:45  16:25  1h 40m
SG8826   DEL   Delhi (Indira Gandhi)               VTZ   Visakhapatnam                       14:45  17:52  3h 7m
AI1314   DEL   Delhi (Indira Gandhi)               JAI   Jaipur                              16:15  17:49  1h 34m
G84046   DEL   Delhi (Indira Gandhi)               MAA   Chennai                             16:15  18:37  2h 22m
6E5985   DEL   Delhi (Indira Gandhi)               IXE   Mangalore                           17:00  19:55  2h 55m
AI2876   DEL   Delhi (Indira Gandhi)               CCJ   Calicut                             17:00  20:25  3h 25m
AI508    DEL   Delhi (Indira Gandhi)               PNQ   Pune                                17:00  17:54  0h 54m
UK6942   DEL   Delhi (Indira Gandhi)               MAA   Chennai                             17:45  19:57  2h 12m
6E5069   DEL   Delhi (Indira Gandhi)               MAA   Chennai                             18:00  19:43  1h 43m
AI8839   DEL   Delhi (Indira Gandhi)               TRV   Thiruvananthapuram                  18:15  20:31  2h 16m
AI490    DEL   Delhi (Indira Gandhi)               IXE   Mangalore                           19:00  22:04  3h 4m
6E6832   DEL   Delhi (Indira Gandhi)               VTZ   Visakhapatnam                       19:15  21:05  1h 50m
6E512    DEL   Delhi (Indira Gandhi)               IXE   Mangalore                           20:15  21:26  1h 11m
6E4687   DEL   Delhi (Indira Gandhi)               JAI   Jaipur                              20:30  22:17  1h 47m
AI5749   DEL   Delhi (Indira Gandhi)               STV   Surat                               21:15  23:44  2h 29m
SG2802   DEL   Delhi (Indira Gandhi)               TRZ   Tiruchirappalli                     22:00  01:10  3h 10m
SG5436   DEL   Delhi (Indira Gandhi)               AMD   Ahmedabad (Sardar Vallabhbhai Pat   11:45  13:33  1h 48m
SG2737   DEL   Delhi (Indira Gandhi)               AMD   Ahmedabad (Sardar Vallabhbhai Pat   18:30  21:56  3h 26m
AI5730   DEL   Delhi (Indira Gandhi)               AMD   Ahmedabad (Sardar Vallabhbhai Pat   18:45  21:58  3h 13m
AI3897   DEL   Delhi (Indira Gandhi)               AMD   Ahmedabad (Sardar Vallabhbhai Pat   20:30  21:30  1h 0m
UK2629   DEL   Delhi (Indira Gandhi)               ATQ   Amritsar (Sri Guru Ram Dass Jee)    16:30  20:21  3h 51m
UK5499   DEL   Delhi (Indira Gandhi)               ATQ   Amritsar (Sri Guru Ram Dass Jee)    22:45  00:22  1h 37m
UK5155   DEL   Delhi (Indira Gandhi)               BBI   Bhubaneswar (Biju Patnaik)          05:30  08:24  2h 54m
SG1279   DEL   Delhi (Indira Gandhi)               BBI   Bhubaneswar (Biju Patnaik)          07:00  09:21  2h 21m
UK2197   DEL   Delhi (Indira Gandhi)               BBI   Bhubaneswar (Biju Patnaik)          14:45  16:41  1h 56m
UK3052   DEL   Delhi (Indira Gandhi)               BBI   Bhubaneswar (Biju Patnaik)          17:30  19:04  1h 34m
UK7729   DEL   Delhi (Indira Gandhi)               BLR   Bangalore (Kempegowda)              05:45  07:32  1h 47m
UK1366   DEL   Delhi (Indira Gandhi)               BLR   Bangalore (Kempegowda)              06:15  08:52  2h 37m
6E3604   DEL   Delhi (Indira Gandhi)               BLR   Bangalore (Kempegowda)              06:45  09:05  2h 20m
6E2312   DEL   Delhi (Indira Gandhi)               BLR   Bangalore (Kempegowda)              10:00  12:32  2h 32m
6E1367   DEL   Delhi (Indira Gandhi)               BLR   Bangalore (Kempegowda)              19:00  20:36  1h 36m
6E5836   DEL   Delhi (Indira Gandhi)               BOM   Mumbai (Chhatrapati Shivaji)        08:30  10:00  1h 30m
UK9268   DEL   Delhi (Indira Gandhi)               BOM   Mumbai (Chhatrapati Shivaji)        08:45  10:47  2h 2m
G81273   DEL   Delhi (Indira Gandhi)               BOM   Mumbai (Chhatrapati Shivaji)        17:45  20:06  2h 21m
SG7361   DEL   Delhi (Indira Gandhi)               BOM   Mumbai (Chhatrapati Shivaji)        22:00  00:24  2h 24m
SG1581   DEL   Delhi (Indira Gandhi)               BOM   Mumbai (Chhatrapati Shivaji)        22:15  01:02  2h 47m
AI4796   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   06:45  08:33  1h 48m
6E8677   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   08:30  11:28  2h 58m
6E5501   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   11:30  14:23  2h 53m
6E2826   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   12:30  14:49  2h 19m
AI5147   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   13:45  15:53  2h 8m
UK9381   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   14:15  16:12  1h 57m
G86836   DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   17:15  20:06  2h 51m
AI667    DEL   Delhi (Indira Gandhi)               CCU   Kolkata (Netaji Subhas Chandra Bo   20:00  21:42  1h 42m
AI7458   DEL   Delhi (Indira Gandhi)               COK   Kochi (Cochin)                      09:30  10:22  0h 52m
SG2068   DEL   Delhi (Indira Gandhi)               COK   Kochi (Cochin)                      10:45  12:37  1h 52m
UK8829   DEL   Delhi (Indira Gandhi)               COK   Kochi (Cochin)                      13:30  15:32  2h 2m
6E2813   DEL   Delhi (Indira Gandhi)               COK   Kochi (Cochin)                      20:45  21:42  0h 57m
SG1350   DEL   Delhi (Indira Gandhi)               GAU   Guwahati (Lokpriya Gopinath Bordo   06:15  07:39  1h 24m
AI1941   DEL   Delhi (Indira Gandhi)               GAU   Guwahati (Lokpriya Gopinath Bordo   21:00  22:07  1h 7m
G88734   DEL   Delhi (Indira Gandhi)               GOI   Goa (Dabolim)                       13:45  16:16  2h 31m
G81171   DEL   Delhi (Indira Gandhi)               GOI   Goa (Dabolim)                       21:30  01:30  4h 0m
UK9635   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            05:00  06:36  1h 36m
6E8558   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            12:00  14:45  2h 45m
AI3449   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            12:45  15:34  2h 49m
6E8389   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            16:45  18:31  1h 46m
UK4614   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            19:45  22:33  2h 48m
SG9390   DEL   Delhi (Indira Gandhi)               HYD   Hyderabad (Rajiv Gandhi)            23:00  01:58  2h 58m
6E1799   DEL   Delhi (Indira Gandhi)               IDR   Indore (Devi Ahilya Bai Holkar)     07:45  09:21  1h 36m
UK9935   DEL   Delhi (Indira Gandhi)               IDR   Indore (Devi Ahilya Bai Holkar)     18:30  19:40  1h 10m
6E5608   DEL   Delhi (Indira Gandhi)               IDR   Indore (Devi Ahilya Bai Holkar)     20:00  22:36  2h 36m
6E8795   DEL   Delhi (Indira Gandhi)               IXB   Siliguri (Bagdogra)                 16:00  18:31  2h 31m
6E8679   DEL   Delhi (Indira Gandhi)               IXB   Siliguri (Bagdogra)                 21:45  00:08  2h 23m
UK4425   DEL   Delhi (Indira Gandhi)               LKO   Lucknow (Chaudhary Charan Singh)    20:15  21:48  1h 33m
6E1226   DEL   Delhi (Indira Gandhi)               LKO   Lucknow (Chaudhary Charan Singh)    21:15  01:12  3h 57m
6E8980   DEL   Delhi (Indira Gandhi)               NAG   Nagpur (Dr. Babasaheb Ambedkar)     05:45  07:43  1h 58m
SG8943   DEL   Delhi (Indira Gandhi)               NAG   Nagpur (Dr. Babasaheb Ambedkar)     11:00  14:34  3h 34m
6E6258   DEL   Delhi (Indira Gandhi)               NAG   Nagpur (Dr. Babasaheb Ambedkar)     17:45  21:39  3h 54m
6E8821   DEL   Delhi (Indira Gandhi)               NAG   Nagpur (Dr. Babasaheb Ambedkar)     21:15  22:25  1h 10m
6E6848   DEL   Delhi (Indira Gandhi)               PAT   Patna (Jay Prakash Narayan)         10:45  14:06  3h 21m
UK2691   DEL   Delhi (Indira Gandhi)               PAT   Patna (Jay Prakash Narayan)         19:15  21:21  2h 6m
UK6225   DEL   Delhi (Indira Gandhi)               PAT   Patna (Jay Prakash Narayan)         22:45  01:14  2h 29m
G89324   DEL   Delhi (Indira Gandhi)               SXR   Srinagar (Sheikhul Aalam)           05:30  08:54  3h 24m
6E4073   DEL   Delhi (Indira Gandhi)               SXR   Srinagar (Sheikhul Aalam)           06:15  09:14  2h 59m
SG4749   DEL   Delhi (Indira Gandhi)               VNS   Varanasi (Lal Bahadur Shastri)      15:15  18:14  2h 59m
AI139    DEL   Delhi (Indira Gandhi)               VNS   Varanasi (Lal Bahadur Shastri)      20:45  22:02  1h 17m
6E3104   BLR   Bangalore (Kempegowda)              TRZ   Tiruchirappalli                     05:00  08:53  3h 53m
6E3066   BLR   Bangalore (Kempegowda)              CJB   Coimbatore                          05:30  09:30  4h 0m
UK237    BLR   Bangalore (Kempegowda)              IXM   Madurai                             05:30  06:26  0h 56m
AI4955   BLR   Bangalore (Kempegowda)              IXM   Madurai                             06:30  07:35  1h 5m
